iter	Passed	Remaining
0	67	67306
1	119	59703
2	168	56098
3	218	54422
4	273	54327
5	322	53484
6	370	52569
7	426	52898
8	490	53955
9	537	53180
10	583	52457
11	632	52045
12	698	53041
13	761	53611
14	816	53619
15	912	56094
16	958	55396
17	1026	56020
18	1079	55711
19	1129	55338
20	1188	55384
21	1269	56442
22	1350	57378
23	1398	56859
24	1445	56358
25	1490	55834
26	1542	55580
27	1599	55516
28	1686	56469
29	1733	56059
30	1782	55704
31	1859	56256
32	1920	56268
33	1984	56371
34	2036	56143
35	2138	57253
36	2193	57082
37	2251	56986
38	2304	56796
39	2351	56436
40	2400	56157
41	2462	56179
42	2509	55848
43	2568	55795
44	2618	55567
45	2679	55564
46	2726	55280
47	2789	55320
48	2840	55119
49	2886	54837
50	2941	54737
51	2990	54526
52	3038	54298
53	3091	54164
54	3141	53970
55	3223	54335
56	3290	54429
57	3354	54489
58	3430	54705
59	3484	54588
60	3536	54445
61	3587	54268
62	3642	54167
63	3691	53995
64	3749	53931
65	3815	53996
66	3886	54119
67	3937	53965
68	3985	53770
69	4032	53578
70	4082	53417
71	4128	53212
72	4176	53031
73	4223	52851
74	4275	52728
75	4331	52661
76	4400	52748
77	4452	52625
78	4521	52710
79	4619	53127
80	4679	53095
81	4726	52910
82	4777	52784
83	4828	52653
84	4882	52554
85	4930	52404
86	4980	52261
87	5074	52589
88	5147	52690
89	5214	52726
90	5262	52565
91	5333	52640
92	5378	52458
93	5426	52305
94	5509	52487
95	5576	52514
96	5623	52347
97	5677	52253
98	5772	52538
99	5828	52457
100	5882	52360
101	5947	52359
102	5993	52197
103	6043	52065
104	6091	51921
105	6163	51980
106	6221	51919
107	6274	51824
108	6325	51705
109	6376	51590
110	6431	51511
111	6479	51376
112	6530	51261
113	6579	51136
114	6658	51239
115	6730	51294
116	6776	51143
117	6821	50987
118	6871	50870
119	6916	50717
120	6963	50585
121	7028	50584
122	7124	50796
123	7204	50896
124	7253	50772
125	7360	51053
126	7422	51019
127	7484	50987
128	7536	50887
129	7587	50775
130	7635	50652
131	7692	50581
132	7747	50505
133	7802	50423
134	7868	50416
135	7972	50649
136	8057	50757
137	8106	50638
138	8180	50669
139	8245	50649
140	8331	50754
141	8422	50890
142	8490	50884
143	8537	50751
144	8642	50959
145	8692	50843
146	8749	50768
147	8837	50875
148	8883	50736
149	8934	50631
150	9000	50604
151	9047	50475
152	9102	50388
153	9172	50389
154	9238	50366
155	9300	50315
156	9346	50188
157	9393	50059
158	9446	49967
159	9509	49923
160	9555	49797
161	9607	49700
162	9668	49646
163	9717	49534
164	9772	49456
165	9830	49391
166	9876	49264
167	9946	49260
168	9995	49147
169	10058	49107
170	10119	49056
171	10167	48943
172	10211	48814
173	10286	48829
174	10333	48713
175	10381	48606
176	10454	48610
177	10513	48553
178	10571	48486
179	10621	48386
180	10668	48275
181	10715	48162
