iter	Passed	Remaining
0	8	4295
1	15	3966
2	24	4025
3	31	3945
4	39	3936
5	46	3842
6	54	3831
7	62	3845
8	70	3872
9	78	3865
10	86	3860
11	97	3949
12	105	3965
13	112	3915
14	120	3906
15	127	3870
16	135	3839
17	141	3797
18	147	3744
19	155	3721
20	161	3691
21	169	3672
22	175	3649
23	182	3620
24	188	3587
25	195	3564
26	201	3530
27	208	3509
28	215	3507
29	222	3483
30	229	3470
31	236	3452
32	242	3435
33	250	3432
34	257	3421
35	265	3418
36	272	3405
37	280	3405
38	286	3386
39	293	3378
40	299	3356
41	306	3338
42	313	3334
43	320	3323
44	328	3322
45	335	3312
46	343	3306
47	349	3293
48	356	3279
49	362	3264
50	369	3256
51	378	3261
52	386	3255
53	394	3254
54	400	3238
55	407	3229
56	415	3228
57	422	3218
58	429	3213
59	436	3199
60	443	3189
61	449	3176
62	455	3160
63	462	3148
64	475	3179
65	486	3197
66	494	3193
67	502	3190
68	509	3180
69	515	3168
70	523	3161
71	529	3149
72	536	3138
73	543	3126
74	549	3115
75	557	3112
76	563	3096
77	570	3088
78	577	3078
79	583	3065
80	591	3058
81	598	3049
82	604	3039
83	611	3028
84	620	3027
85	627	3019
86	634	3011
87	640	2997
88	646	2987
89	654	2980
90	660	2970
91	669	2966
92	674	2952
93	681	2943
94	687	2930
95	695	2925
96	702	2917
97	708	2908
98	716	2903
99	725	2901
100	731	2890
101	739	2887
102	747	2883
103	754	2873
104	761	2863
105	772	2870
106	781	2871
107	788	2862
108	800	2869
109	805	2856
110	811	2842
111	817	2832
112	822	2817
113	829	2808
114	835	2796
115	844	2794
116	849	2781
117	855	2768
118	860	2756
119	868	2751
120	874	2738
121	883	2736
122	890	2727
123	899	2726
124	906	2719
125	916	2720
126	923	2710
127	931	2707
128	938	2698
129	947	2696
130	954	2689
131	962	2683
132	972	2682
133	986	2694
134	1005	2719
135	1017	2722
136	1026	2718
137	1031	2706
138	1039	2699
139	1045	2687
140	1051	2678
141	1058	2669
142	1065	2659
143	1071	2648
144	1077	2637
145	1085	2631
146	1095	2630
147	1102	2622
148	1110	2615
149	1117	2608
150	1125	2600
151	1135	2599
152	1142	2590
153	1149	2582
154	1157	2575
155	1164	2568
156	1171	2560
157	1179	2552
158	1188	2548
159	1194	2539
160	1202	2531
161	1208	2521
162	1215	2512
163	1221	2502
164	1227	2493
165	1235	2485
166	1243	2479
167	1251	2472
168	1257	2462
169	1265	2456
170	1272	2447
171	1280	2442
172	1287	2433
173	1294	2424
174	1302	2419
175	1309	2411
176	1316	2403
177	1323	2393
178	1330	2386
179	1336	2376
180	1344	2368
181	1351	2362
182	1359	2355
183	1367	2347
184	1374	2340
185	1381	2331
186	1386	2320
187	1391	2309
188	1397	2299
189	1402	2289
190	1408	2278
191	1413	2268
192	1419	2257
193	1425	2248
194	1431	2239
195	1436	2228
196	1441	2217
197	1448	2209
198	1454	2199
199	1459	2189
200	1465	2179
201	1470	2169
202	1476	2160
203	1481	2149
204	1487	2140
205	1493	2131
206	1499	2121
207	1504	2111
208	1511	2104
209	1516	2094
210	1521	2084
211	1529	2077
212	1535	2068
213	1542	2061
214	1548	2052
215	1553	2042
216	1560	2034
217	1565	2025
218	1572	2017
219	1577	2007
220	1583	1998
221	1590	1991
222	1595	1982
223	1601	1973
224	1608	1965
225	1613	1955
226	1618	1946
227	1634	1949
228	1641	1943
229	1649	1936
230	1655	1927
231	1661	1919
232	1667	1910
233	1674	1903
234	1681	1895
235	1688	1889
236	1695	1881
237	1702	1874
238	1708	1865
239	1714	1857
240	1721	1849
241	1728	1842
242	1734	1834
243	1741	1826
244	1747	1818
245	1753	1810
246	1762	1804
247	1770	1799
248	1776	1790
249	1783	1783
250	1790	1776
251	1797	1769
252	1806	1763
253	1814	1757
254	1851	1778
255	1862	1774
256	1870	1768
257	1879	1762
258	1887	1756
259	1902	1756
260	1908	1747
261	1915	1740
262	1927	1736
263	1934	1729
264	1942	1722
265	1951	1716
266	1959	1709
267	1967	1703
268	1975	1696
269	1985	1690
270	1993	1684
271	2001	1678
272	2024	1683
273	2031	1675
274	2037	1667
275	2043	1658
276	2050	1650
277	2058	1643
278	2065	1636
279	2073	1628
280	2080	1621
281	2085	1612
282	2091	1603
283	2098	1595
284	2103	1586
285	2109	1578
286	2114	1569
287	2123	1563
288	2130	1555
289	2136	1547
290	2144	1540
291	2152	1533
292	2159	1525
293	2165	1517
294	2170	1508
295	2176	1499
296	2181	1490
297	2187	1482
298	2193	1474
299	2198	1465
300	2204	1457
301	2212	1450
302	2219	1443
303	2225	1435
304	2232	1427
305	2239	1419
306	2245	1411
307	2251	1403
308	2258	1396
309	2265	1388
310	2272	1380
311	2277	1372
312	2285	1365
313	2291	1357
314	2297	1349
315	2304	1341
316	2310	1333
317	2316	1325
318	2324	1318
319	2330	1311
320	2338	1303
321	2344	1295
322	2350	1287
323	2356	1279
324	2362	1271
325	2369	1264
326	2377	1257
327	2384	1250
328	2390	1242
329	2395	1234
330	2401	1226
331	2406	1217
332	2412	1209
333	2417	1201
334	2422	1193
335	2427	1185
336	2434	1177
337	2439	1169
338	2444	1160
339	2451	1153
340	2456	1145
341	2461	1137
342	2467	1129
343	2472	1121
344	2478	1113
345	2484	1105
346	2490	1097
347	2496	1090
348	2505	1083
349	2511	1076
350	2518	1069
351	2526	1062
352	2532	1054
353	2538	1047
354	2545	1039
355	2551	1031
356	2556	1024
357	2564	1017
358	2570	1009
359	2575	1001
360	2581	993
361	2587	986
362	2594	979
363	2599	971
364	2605	963
365	2612	956
366	2617	948
367	2624	941
368	2629	933
369	2635	925
370	2641	918
371	2647	910
372	2653	903
373	2659	896
374	2665	888
375	2670	880
376	2677	873
377	2682	865
378	2688	858
379	2695	851
380	2701	843
381	2708	836
382	2714	829
383	2719	821
384	2726	814
385	2732	806
386	2738	799
387	2744	792
388	2750	784
389	2760	778
390	2767	771
391	2776	764
392	2783	757
393	2790	750
394	2795	743
395	2800	735
396	2808	728
397	2813	720
398	2819	713
399	2825	706
400	2831	698
401	2837	691
402	2845	684
403	2850	677
404	2857	670
405	2863	662
406	2870	655
407	2876	648
408	2882	641
409	2890	634
410	2896	627
411	2905	620
412	2910	613
413	2918	606
414	2923	598
415	2929	591
416	2936	584
417	2941	577
418	2947	569
419	2955	562
420	2961	555
421	2967	548
422	2973	541
423	2981	534
424	2988	527
425	2994	520
426	3002	513
427	3024	508
428	3030	501
429	3036	494
430	3042	487
431	3049	480
432	3056	472
433	3066	466
434	3074	459
435	3081	452
436	3087	445
437	3092	437
438	3099	430
439	3104	423
440	3110	416
441	3116	408
442	3122	401
443	3129	394
444	3137	387
445	3147	381
446	3155	374
447	3164	367
448	3170	360
449	3178	353
450	3185	346
451	3190	338
452	3198	331
453	3204	324
454	3212	317
455	3217	310
456	3223	303
457	3229	296
458	3235	288
459	3241	281
460	3247	274
461	3253	267
462	3259	260
463	3264	253
464	3270	246
465	3275	238
466	3280	231
467	3286	224
468	3292	217
469	3297	210
470	3302	203
471	3309	196
472	3314	189
473	3320	182
474	3325	175
475	3331	167
476	3337	160
477	3342	153
478	3348	146
479	3354	139
480	3359	132
481	3364	125
482	3370	118
483	3377	111
484	3382	104
485	3388	97
486	3393	90
487	3398	83
488	3404	76
489	3410	69
490	3415	62
491	3422	55
492	3428	48
493	3434	41
494	3439	34
495	3446	27
496	3452	20
497	3460	13
498	3468	6
499	3475	0
